 ,Location 1,Location 2,Location 3
"""বিগত ১৬ বছরে আওয়ামী লীগের অত্যাচারে বিএনপির সাধারণ সমর্থক, নেতা কর্মী ও তাদের পরিবার অনেক কষ্ট করেছে। এমনকি বিএনপি জাসাস যুবদ…""",Dhaka,,
Tar birodde j kico bolbe ee.. Akta rajakar,Narayanganj,,
বিষয়টা হচ্ছে কিছু না কিছু তো দিতেই হবে না হলে তো নিজে নিজেই বা মন্ত্রী হয়ে যাবে,Sylhet,,
লাগারে লাগা সোয়াবিন লাগা......,Dhaka,,
এখন হালা হুমন্দি সব হয়ে যাবে মুক্তিযোদ্ধা,Dhaka,Chittagong,Noakhali
"""মাথায় গিলু,ই পদে এর থাইকা ফজা পাগলাই ভালো ছিল""",Sylhet,Habiganj,
ফজু পাগল কে দিলো না কে,Dhaka,,
মুক্তিযোদ্ধা ইশরাক হোসেন,Dhaka,Narsingdi,
ব্রেইন ছাড়া ইশরাক,Sylhet,,
ভাবছিলাম বিএনপি ২ বছর টিকবে এখন দেখি ১ বছর ও পারবে না,Dhaka,,
বাবার মুক্তিযুদ্ধের কোটায় ছেলে নিয়োগ।,Dhaka,Barisal,
স্যালুট বীর মুক্তিযোদ্ধা ইশরাক হোসেন কে,Dhaka,,
শুভ বুধবার। …,Chittagong,Chandpur,
গেয়ি ভ্যাস তেল লেনে,Dinajpur,,
নগর ড্যাডি বিষয়ক মন্ত্রনালয় দিলে ভাল হবে,বরিশাল,Dhaka,Barisal
Akhon r dhakka dhakki korte hbe nahh.....amni seat raikha dbe,Mymensingh,Sherpur,
বীর মুক্তিযোদ্ধা ইশরাক ভাই,Dhaka,Tangail,
এই পোস্ট দেখার পর জিবন যুদ্ধেই হেরে গেলাম,Dhaka,Sylhet,Gazipur
নতুন চেতনা লোডিং....,Dhaka,,
ধাক্কাধাক্কি মন্ত্রি দিলে ভাল হইত,Dhaka,,
আহ্,Dhaka,Kishoreganj,
জনতার মুক্তিযোদ্ধা,Dhaka,,
উস্তাদ,Chittagong,Chandpur,
ধাক্কায় কাজ হয়েছে,Khulna,,
নগর ডেন্ডি,Chittagong,,
Fojlur rohman ke banano drkar chilo,Dhaka,Barisal,
মালঞ্চি,Dhaka,Jamalpur,
যারা মুক্তিযোদ্ধা তাদের কে মুক্তিযোদ্ধা বিষয়ক মন্ত্রী না দিয়ে শিশু কে দেই,Dhaka,,
অভিনন্দন আমাদের গর্ব বাংলাদেশের মাটি মানুষের নেতা শুভকামনা রইল,Jamalpur,,
তারেক রহমান জামাতের আমিরকে মন্ত্রী বানাবেন আর জামাতের আমি এর সাথে তা....See,Mymensingh,,
"""হইছে, এইবার পুরাদমে স্বাধীনতার চেতনা পাইকারী হারে বিক্রি হবে।""",Dhaka,,
সমস্যা নাই ভাই। পুরো পৃথিবী আপনার বিপক্ষে থাকলেও আমি পৃথিবীর পক্ষে।,Dhaka,Kishoreganj,
"""হইতে চাইছিলাম মেয়র, বানাইলেন প্রতিমন্ত্রী।""",Tangail,,
পাগলারে দিছে আরো চেতাইয়া,Chittagong,Lakshmipur,
Onake amar protimonti dile valo hoy.,Dhaka,Barisal,Bhola
মুক্তিযুদ্ধ বিষয়ে ইশরাক কী জানে? ওর বয়স কত? বিএনপি নাকি স্বাধীনতার দল? একজন মুক্তি যোদ্ধা নেই এই মন্ত্রণালয়ের জন্য???,Chittagong,,
মুক্তিযুদ্ধ মানেই জাতির ড্যাডি বঙ্গবলটু আর নগর ড্যাডি ইশরাক,Dhaka,,
Muktijuddho bishoyok montri Thela-theli bishoyok montri️,Sylhet,Sunamganj,
আরো বেশি করে ভোট দেও বাঙালি জাতি,Dhaka,Narsingdi,
সামলাতে পারবে গায়ের জোর আসে না,Panchagarh,,
মেথর,Chittagong,Sylhet,
ওর জন্য এটা অতিরিক্ত হয়ে গেছে!,Dhaka,,
How,Dhaka,Netrokona,
সাওয়া মন্এী,Chittagong,Comilla,
"""দুঃখের বিষয় হচ্ছে তার বাবার সাথে যে রাজনীতি করেছে সে কিন্তু মন্ত্রীর মর্যাদা পেল না, বাংলাদেশে ছয়বার এমপি জয়নাল আবদীন ফারু…""",Chittagong,Noakhali,
ভাই তার আব্বা যুদ্ধ করছে নি আমার কাছে সন্দেহ হয়,Dhaka,,
আরে তোমরা তো জানোই না আমি আর ও এক সাথে যুদ্ধের মালামাল সরবরাহ করছি।,Dhaka,,
একদম ঠিক আছে,Dhaka,,
"""মন্ত্রণালয় যদি না দিত, তিনি পাঁচ ে সংসদ ঘেরাও কর্মসূচি দিয়ে নিজে নিজেই মন্ত্রীর শপথ পড়ে ফেলতেন!""",Dhaka,Chittagong,Gopalganj
দেশটা চাঁন্দের দেশে চলে গেছে মনে করেন আর কিছু বাকি নাই।,Dhaka,Barisal,Pirojpur
বয়স কম,Chittagong,,
এই দেশ তাইলে শেস কটি মানুষের প্রান চলে গেলেও এই দেশ কখোনো ঠিক হবে না,Dhaka,Noakhali,
