Comment,Location 1,Location 2,Location 3
জমিদারের নাতিকে নেওয়া দরকার,Dhaka,,
আমাকেও কষ্ট দেয়,Dhaka,Kishoreganj,
"""Amk o kosto dey,,,ei bura boyoshe dour jhap korte hoy tar",Dhaka,,
মা থেকে মাসির দরদ বেশি হয়ে গেলো না সার্বিস আলম,Sylhet,,
একদম।,Dhaka,,
টোকাই,Dhaka,,
দুই ের বৈরাগী বলে কি।,Dhaka,Chandpur,
তারা তো হাগল এর লাইগাই দৌড়ায়,নাটোর,Dhaka,Natore
ইউনুস কে রাষ্ট্রপতি হিসেবে দেখতে চাই,Dhaka,,
জ্বলে নাকি?,Dhaka,Dinajpur,
সেই মানের মানবতা,Dhaka,,
এত বেশি মনে কষ্ট নিলে রোজা ভাঙ্গার কারণ হয়ে দাঁড়াবে!,Chittagong,Noakhali,
এটা গুড পলিটিক্স। সরকার থেকে দল আলাদা এটা প্রমাণিত হয়।,Chittagong,Rangamati,
"""রাকিবের পরিবর্তে ওকে নিয়োগ দেওয়া উচিত, অনেক অভিজ্ঞতা আছে",Dhaka,,
প্রধানমন্ত্রী এটা সবার। চাইলে আপনিও দৌড়াতে পারেন।,Dhaka,,
থাক সার্জিস ভাই এটা তাদের সমঝোতার মধ্যে পড়ে,Chittagong,,
ছাত্রদলকে বলা হয় প্রধানমন্ত্রীর ভ্যানগার্ড।সুতরাং নিরাপত্তা এবং প্রটোকল হিসেবে যার যেভাবে থাকা দরকার সে সেখানেই থাকবে। আর বই ম…,ঢাকা,নাটোর,Dhaka
"""নপতা আপনি এগিয়ে যান,সাড়া দুনিয়া আপনার বিপক্ষে থাকলেও আমি কিন্তু দুনিয়ার পক্ষেই",Dhaka,Kishoreganj,
রক্তে যার গোলামীর বীজ সে কেন বৃটিশ আর্মিতে ভর্তি হবে না।,Dhaka,,
ভোট দিবো কিসে ধানের শীষে,Dhaka,,
মনে হচ্ছে একটি ক্ষুধা কুকুর দৌড়াচ্ছে,Dhaka,Madaripur,
"""আইসো আবার মব করতে, তুমার অপেক্ষায় বাংলাদেশ, …",Tangail,,
"""ছাত্র দল রাকিব লিডারের পিছে দৌড়ায় , আর সরম লাগে আমার",Dhaka,,
আইছে আমার নয়া মুসলমান।,Dhaka,Khulna,Satkhira
জাতির আউব্বার গুনগান করো তখন??,Sirajganj,,
আন্দুলনের ডাক লিদার,Dhaka,Feni,
বিষয়টা খুবই দুঃখজনক,Patuakhali,,
কুকুর তো অনিবার পিছনে দৌড়াবেই।,Dhaka,Rangpur,Faridpur
